,name,epochs,dropout,optimizer,activation,batch_size,initializer,learning_rate,layer_size_hl1,layer_size_hl2,layer_size_hl3,layer_size_hl4,layer_size_hl5,optmizer,layerSizeH1,layerSizeHl1,layerSizeHl2,layer_size,channels_one,channels_two,initializer,layer_size_hl2,_timestamp,id,dropout,_runtime,accuracy,optimizer,epochs,best_epoch,layer_size_hl1,batch_size,val_accuracy,best_val_loss,loss,_step,epoch,val_loss,activation,learning_rate,layer_size_hl3,graph,layer_syze_hl3,layer_syze_hl1,layer_syze_hl2,val_categorical_crossentropy,categorical_crossentropy,layer_syze_hl4,layer_syze_hl5,layer_syze
0,absurd-sweep-32,21,0.3,rmsprop,relu,96.0,he_normal,0.001973303792824517,23,30,28,,,,,,,,,,he_normal,30.0,1612390712.0,b3e6252a,0.3,24.0,0.9116319417953492,rmsprop,21,20.0,23.0,96.0,0.9084722399711608,0.20178550481796265,0.2024639993906021,21.0,20.0,0.20178550481796265,relu,0.001973303792824517,28.0,,,,,,,,,
1,solar-sweep-31,28,0.3,rmsprop,relu,64.0,he_normal,0.0013608035985934628,22,27,23,,,,,,,,,,he_normal,27.0,1612390657.0,86e02b6a,0.3,45.0,0.9103472232818604,rmsprop,28,26.0,22.0,64.0,0.9101389050483704,0.19825990498065948,0.20328839123249057,28.0,27.0,0.2009615898132324,relu,0.0013608035985934628,23.0,,,,,,,,,
2,cool-sweep-30,30,0.2,rmsprop,relu,96.0,he_normal,0.001294190305217596,14,27,16,,,,,,,,,,he_normal,27.0,1612390584.0,63213911,0.2,32.0,0.9105208516120912,rmsprop,30,29.0,14.0,96.0,0.9105555415153505,0.20224811136722565,0.203235387802124,30.0,29.0,0.20224811136722565,relu,0.001294190305217596,16.0,,,,,,,,,
3,wise-sweep-29,30,0.3,rmsprop,relu,128.0,he_normal,0.0016463163866137932,25,23,21,,,,,,,,,,he_normal,23.0,1612390523.0,42214338,0.3,26.0,0.910069465637207,rmsprop,30,27.0,25.0,128.0,0.910277783870697,0.20346473157405853,0.20556187629699707,30.0,29.0,0.20422407984733584,relu,0.0016463163866137932,21.0,,,,,,,,,
4,ancient-sweep-28,23,0.2,rmsprop,relu,196.0,he_normal,0.0014922138342231613,28,18,30,,,,,,,,,,he_normal,18.0,1612390470.0,27d7c3c6,0.2,17.0,0.9104514122009276,rmsprop,23,21.0,28.0,196.0,0.9100000262260436,0.20263417065143585,0.20037026703357697,23.0,22.0,0.20348374545574188,relu,0.0014922138342231613,30.0,,,,,,,,,
5,radiant-sweep-27,27,0.4,rmsprop,relu,196.0,he_normal,0.001748254646164177,16,27,23,,,,,,,,,,he_normal,27.0,1612390422.0,0a595831,0.4,19.0,0.9089583158493042,rmsprop,27,25.0,16.0,196.0,0.9079166650772096,0.2190592885017395,0.21782532334327695,27.0,26.0,0.2213124483823776,relu,0.001748254646164177,23.0,,,,,,,,,
6,still-sweep-26,21,0.4,rmsprop,relu,128.0,he_normal,0.001418378071933655,26,29,30,,,,,,,,,,he_normal,29.0,1612390370.0,e9a525d2,0.4,21.0,0.9119444489479064,rmsprop,21,18.0,26.0,128.0,0.9109722375869752,0.2117255926132202,0.21121826767921448,21.0,20.0,0.21219275891780853,relu,0.001418378071933655,30.0,,,,,,,,,
7,stellar-sweep-25,30,0.3,rmsprop,relu,96.0,he_normal,0.0016610789421566837,29,25,25,,,,,,,,,,he_normal,25.0,1612390322.0,c5da0eaf,0.3,33.0,0.9099305272102356,rmsprop,30,22.0,29.0,96.0,0.909583330154419,0.20393967628479004,0.2039148360490799,30.0,29.0,0.20676086843013763,relu,0.0016610789421566837,25.0,,,,,,,,,
8,fine-sweep-24,19,0.4,rmsprop,relu,128.0,he_normal,0.001620588157612568,22,24,24,,,,,,,,,,he_normal,24.0,1612390259.0,a80b4de0,0.4,20.0,0.9095486402511596,rmsprop,19,18.0,22.0,128.0,0.9100000262260436,0.2058647871017456,0.20964570343494415,19.0,18.0,0.2058647871017456,relu,0.001620588157612568,24.0,,,,,,,,,
9,stellar-sweep-23,24,0.4,rmsprop,relu,128.0,he_normal,0.0017766820565510994,22,23,27,,,,,,,,,,he_normal,23.0,1612390207.0,87e247d0,0.4,22.0,0.9107986092567444,rmsprop,24,22.0,22.0,128.0,0.9116666913032532,0.21044562757015228,0.2088518887758255,24.0,23.0,0.21096311509609225,relu,0.0017766820565510994,27.0,,,,,,,,,
10,dashing-sweep-22,30,0.4,rmsprop,relu,96.0,he_normal,0.0010571001275943462,20,26,24,,,,,,,,,,he_normal,26.0,1612390150.0,5fd6ecf1,0.4,32.0,0.9096875190734864,rmsprop,30,28.0,20.0,96.0,0.9137499928474426,0.21175579726696017,0.21968112885951996,30.0,29.0,0.21207082271575928,relu,0.0010571001275943462,24.0,,,,,,,,,
